timestamp,text,sentimen,emosi
2025-06-21 14:08:55,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 14:11:54,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 14:19:23,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 14:19:24,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 14:19:25,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 14:19:25,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 14:19:26,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 14:19:27,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 14:19:28,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 14:19:28,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 14:19:30,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 14:19:30,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 14:25:49,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 14:25:50,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 14:25:51,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 14:25:51,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 14:25:51,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 14:25:51,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 14:25:52,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 14:25:53,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 14:25:53,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 14:25:54,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 14:29:22,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 14:29:22,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 14:29:24,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 14:29:24,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 14:29:24,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 14:29:25,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 14:29:26,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 14:29:27,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 14:29:28,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 14:29:28,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 14:29:30,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 14:40:31,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 14:41:13,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 14:41:14,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 14:41:16,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 14:41:16,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 14:41:17,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 14:41:18,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 14:41:19,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 14:41:20,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 14:41:21,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 14:41:21,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 15:48:27,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 15:49:00,apakah dalam 1 minggu kedepan akan terjadi cuaca buruk,Negatif,Takut
2025-06-21 15:49:23,apakah dalam 1 minggu kedepan akan terjadi cuaca buruk di kendari,Negatif,Takut
2025-06-21 15:49:43,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 15:49:44,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 15:49:45,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 15:49:45,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 15:49:46,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 15:49:46,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 15:49:47,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 15:49:48,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 15:49:49,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 15:49:49,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 15:51:02,apakah dalam 1 minggu kedepan akan terjadi cuaca buruk di kalimantan,Negatif,Takut
2025-06-21 15:51:03,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 15:51:04,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
